SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
Chernobyl,1,12,Breaking Point,2007-01-28
   ,3,1,The Beginning,2006-04-23
The Bear,3,4,Into the Dark,2008-11-15
Game of Thrones,3,  ,The Return,2006-02-26
Severance,0,11,Pilot,32-13-2020
Severance,-5,13,The Truth,2011-04-12
Dark,--2,10,No Way Out,2010-03-05
Sopranos,N/A,14,The Awakening,2002-07-30
Breaking Bad,3,7,Reckoning,0000-00-00
Game of Thrones,0,7,Rising Sun,32-13-2020
Better Call Saul,4,8,The Descent,2018-07-09
Sopranos,4,12,The Awakening,2007-06-02
Severance,4,5,Crossroads,2018-11-02
Game of Thrones,4,5,Redemption,2014-04-04
Chernobyl,4,7,Into the Dark,2021-03-21
Game of Thrones,0,11,Pilot,yesterday
Dark,  ,9,Last Stand,2012-07-13
Dark,4,7,Last Stand,2003-04-23
Breaking Bad,5,1,Last Stand,2005-01-10
Game of Thrones,3,14,No Way Out,2013-08-28
Dark,0,10,No Way Out,32-13-2020
Chernobyl,2,,Rising Sun,2006-07-05
Sopranos,4,5,End Game,2004-09-24
Game of Thrones,2,5,Rising Sun,0000-00-00
Sopranos,4,0,Breaking Point,32-13-2020
Sopranos,1,9,Reckoning,2000-04-13
The Wire,4,0,The Return,N/A
Breaking Bad,3,8,The Awakening,32-13-2020
   ,4,13,The Awakening,2006-04-10
Dark,5,11,Into the Dark,2003-06-22
Dark,4,8,The Return,2019-05-24
   ,3,13,Breaking Point,2008-03-16
The Wire,two,,,
Breaking Bad,4,8,Crossroads,2010-07-16
Severance,5,9,Crossroads,2007-02-12
Dark,3,0,Redemption,
The Wire,0,8,No Way Out,32-13-2020
   ,5,15,No Way Out,2003-02-19
Breaking Bad,5,1,Aftermath,N/A
Stranger Things,4,abc,The Descent,2010-06-01
The Bear,5,11,Reckoning,2010-06-06
Better Call Saul,1,11,Rising Sun,N/A
Breaking Bad,3,10,Breaking Point,
Dark,5,15,,2020-01-28
Breaking Bad,5,7,The Descent,2022-40-99
  DARK  , 5 , 4 ,  redemption  ,2015-08-21
Breaking Bad,1,4,Last Stand,2013-09-16
Game of Thrones,1,12,New Dawn,2005-06-29
Chernobyl,3,4,The Beginning,2012-12-27
Severance,3,3,New Dawn,0000-00-00
Breaking Bad,1,11,Aftermath,2018-08-08
The Wire,4,8,Redemption,2007-08-23
Breaking Bad,--2,,,
Stranger Things,5,1,Aftermath,32-13-2020
   ,1,10,Into the Dark,2003-10-28
The Wire,4,4,End Game,2009-12-09
Severance,2,9,Fallout,2016-03-22
Dark,3,7,The Descent,2010-06-22
Stranger Things,1,5,Into the Dark,2002-07-23
Game of Thrones,4,--2,The Beginning,2004-07-09
Dark,0,9,Last Stand,yesterday
Game of Thrones,2,6,The Truth,2003-07-16
Dark,5,2,Breaking Point,2008-07-23
Stranger Things,3,7,Untitled,N/A
Sopranos,4,5,The Truth,2005-08-21
  BETTER CALL SAUL  , 4 , 13 ,  reckoning  ,2016-08-03
Game of Thrones,0,14,Reckoning,32-13-2020
Chernobyl,0,6,Untitled,not a date
Severance,5,10,Breaking Point,2007-07-18
Sopranos,2,6,Aftermath,2004-09-12
Chernobyl,2,5,End Game,2003-07-10
Better Call Saul,4,3,The Descent,2004-02-12
Sopranos,2,11,Last Stand,2014-12-16
,1,7,Final Chapter,2006-11-25
Game of Thrones,3,15,Redemption,
The Bear,3,0,The Return,N/A
Stranger Things,4,2,End Game,2012-11-15
The Bear,  ,4,The Descent,2021-11-09
Chernobyl,5,2,The Beginning,32-13-2020
The Wire,3,6,The Awakening,2001-10-22
Sopranos,2,  ,Aftermath,2020-01-27
Better Call Saul,4,13,,2012-01-21
Breaking Bad,0,7,Aftermath,N/A
The Bear,3,7,The Awakening,2018-09-12
The Bear,4,4,The Awakening,2016-12-09
Better Call Saul,3,13,End Game,2002-07-02
The Bear,5,4,Into the Dark,0000-00-00
Game of Thrones,4,  ,Redemption,2007-09-23
Game of Thrones,5,7,Aftermath,2016-05-04
Chernobyl,2,8,Breaking Point,2006-01-20
   ,4,3,Last Stand,2000-09-15
The Wire,5,8,Last Stand,2006-02-27
Breaking Bad,1,1,Breaking Point,2016-05-01
Better Call Saul,abc,2,The Truth,2010-02-19
Breaking Bad,5,12,Rising Sun,2021-04-02
   ,1,10,Into the Dark,2005-12-15
Game of Thrones,5,--2,Fallout,2003-09-10
Sopranos,2,one,Redemption,2005-12-31
Severance,  ,8,Aftermath,2013-04-25
Severance,3,0,Aftermath,not a date
The Bear,4,6,Last Stand,32-13-2020
,4,4,The Return,2013-01-30
The Wire,3,0,Redemption,2016-02-05
Breaking Bad,3,5,The Return,2009-08-22
The Bear,5,1,Crossroads,2001-11-02
Game of Thrones,two,11,Pilot,2000-05-01
The Wire,3,10,,2004-12-14
Better Call Saul,N/A,9,The Return,2007-11-16
Severance,5,14,No Way Out,2009-07-27
The Bear,0,1,Reckoning,not a date
