SeriesName,SeasonNumber,EpisodeNumber,EpisodeTitle,AirDate
better call saul,0,2,the truth,2010-02-19
better call saul,0,2,breaking point,2016-09-22
better call saul,0,2,aftermath,2002-06-27
better call saul,0,2,the descent,2008-02-12
better call saul,0,3,the beginning,2002-04-27
better call saul,0,9,the return,2007-11-16
better call saul,0,11,breaking point,2005-08-26
better call saul,0,14,rising sun,2001-11-18
better call saul,1,1,the awakening,2018-10-01
better call saul,1,10,the descent,2000-09-17
better call saul,1,11,into the dark,2000-03-18
better call saul,1,12,reckoning,2001-04-13
better call saul,2,1,no way out,2001-10-18
better call saul,2,2,the descent,2020-08-03
better call saul,2,3,untitled episode,2007-05-11
better call saul,2,7,fallout,2000-12-08
better call saul,2,11,reckoning,2018-11-26
better call saul,2,12,last stand,unknown
better call saul,2,15,into the dark,2019-12-12
better call saul,3,0,reckoning,2001-10-17
better call saul,3,0,end game,2012-03-15
better call saul,3,1,rising sun,2019-09-02
better call saul,3,2,untitled episode,2020-07-28
better call saul,3,3,redemption,2019-10-04
better call saul,3,5,into the dark,unknown
better call saul,3,13,end game,2002-07-02
better call saul,4,0,new dawn,2016-11-22
better call saul,4,1,the awakening,2000-05-17
better call saul,4,2,last stand,2005-01-14
better call saul,4,3,the descent,2004-02-12
better call saul,4,4,redemption,2013-03-20
better call saul,4,8,the descent,2018-07-09
better call saul,4,13,reckoning,2016-08-03
better call saul,4,14,last stand,unknown
better call saul,4,15,untitled,2016-09-05
better call saul,5,0,the truth,2019-02-04
better call saul,5,0,untitled,2009-09-14
better call saul,5,0,no way out,2002-06-29
better call saul,5,1,the beginning,2018-10-26
better call saul,5,4,untitled episode,2012-11-04
better call saul,5,5,rising sun,2018-09-03
better call saul,5,6,end game,2018-05-10
breaking bad,0,3,the descent,2002-07-20
breaking bad,0,6,the truth,2014-06-17
breaking bad,0,7,aftermath,2021-09-29
breaking bad,0,7,the beginning,2011-04-05
breaking bad,0,11,into the dark,2012-06-08
breaking bad,1,1,breaking point,2016-05-01
breaking bad,1,4,last stand,2013-09-16
breaking bad,1,11,aftermath,2018-08-08
breaking bad,1,13,the descent,2004-11-27
breaking bad,1,15,last stand,2003-09-24
breaking bad,2,0,end game,2017-06-17
breaking bad,2,2,the beginning,2019-04-13
breaking bad,2,3,final chapter,2021-04-15
breaking bad,2,9,the truth,unknown
breaking bad,2,14,the beginning,2018-01-20
breaking bad,2,15,last stand,2019-06-21
breaking bad,3,0,end game,2005-05-29
breaking bad,3,1,untitled,2021-07-25
breaking bad,3,5,the return,2009-08-22
breaking bad,3,7,reckoning,2004-09-29
breaking bad,3,8,the awakening,unknown
breaking bad,3,10,breaking point,2008-11-23
breaking bad,3,13,untitled episode,2006-08-13
breaking bad,4,7,end game,2008-06-16
breaking bad,4,8,crossroads,2010-07-16
breaking bad,4,9,rising sun,2021-10-28
breaking bad,4,14,reckoning,2004-01-29
breaking bad,5,1,last stand,2005-01-10
breaking bad,5,4,end game,2005-05-31
breaking bad,5,7,into the dark,2000-02-18
breaking bad,5,8,no way out,2020-08-14
breaking bad,5,12,rising sun,2021-04-02
chernobyl,0,2,fallout,2004-06-04
chernobyl,0,4,fallout,2001-09-24
chernobyl,0,6,untitled,2011-06-13
chernobyl,0,6,fallout,2000-01-24
chernobyl,0,10,reckoning,2003-11-28
chernobyl,0,13,fallout,2006-06-29
chernobyl,1,0,fallout,2010-02-20
chernobyl,1,0,reckoning,2011-07-24
chernobyl,1,5,untitled episode,2008-08-08
chernobyl,1,8,fallout,2017-12-22
chernobyl,1,10,last stand,2002-04-14
chernobyl,1,11,the truth,2019-04-01
chernobyl,1,12,breaking point,2007-01-28
chernobyl,2,0,rising sun,2006-07-05
chernobyl,2,1,end game,2004-11-26
chernobyl,2,2,rising sun,unknown
chernobyl,2,5,end game,2003-07-10
chernobyl,2,6,untitled,2012-02-05
chernobyl,2,8,breaking point,2006-01-20
chernobyl,2,9,end game,2003-07-06
chernobyl,2,11,untitled episode,2016-12-04
chernobyl,2,12,rising sun,2015-03-06
chernobyl,2,13,final chapter,2018-05-29
chernobyl,2,14,pilot,2013-12-07
chernobyl,3,0,rising sun,2005-05-07
chernobyl,3,4,the beginning,2012-12-27
chernobyl,3,6,the descent,unknown
chernobyl,3,7,aftermath,2009-10-28
chernobyl,3,15,fallout,unknown
chernobyl,4,0,end game,2005-01-13
chernobyl,4,2,final chapter,2005-07-09
chernobyl,4,5,final chapter,2021-11-26
chernobyl,4,6,new dawn,2019-05-21
chernobyl,4,7,into the dark,2021-03-21
chernobyl,4,11,final chapter,2020-02-09
chernobyl,4,13,untitled episode,2005-12-27
chernobyl,5,0,the descent,2014-05-01
chernobyl,5,2,the beginning,unknown
chernobyl,5,4,pilot,2001-08-04
chernobyl,5,8,untitled episode,2002-01-14
dark,0,5,rising sun,2000-06-19
dark,0,7,rising sun,2009-07-28
dark,0,8,last stand,2007-08-08
dark,0,9,last stand,2012-07-13
dark,0,10,no way out,2010-03-05
dark,0,10,the beginning,2004-08-01
dark,0,11,rising sun,2015-12-23
dark,1,3,reckoning,2017-07-19
dark,1,9,the awakening,2015-05-28
dark,2,5,reckoning,2017-08-29
dark,2,14,redemption,2020-08-15
dark,3,0,redemption,2015-06-12
dark,3,3,end game,2012-08-24
dark,3,5,fallout,2004-10-29
dark,3,7,the descent,2010-06-22
dark,3,9,fallout,2004-04-20
dark,3,14,end game,2010-07-19
dark,3,15,redemption,2006-05-25
dark,4,0,the beginning,2008-05-16
dark,4,1,breaking point,2007-07-16
dark,4,2,the descent,2021-07-19
dark,4,7,last stand,2003-04-23
dark,4,8,the return,2019-05-24
dark,4,9,last stand,2015-06-28
dark,4,11,untitled,2013-10-21
dark,5,0,end game,2021-10-22
dark,5,1,redemption,2001-09-08
dark,5,2,breaking point,2008-07-23
dark,5,4,redemption,2015-08-21
dark,5,6,the descent,unknown
dark,5,8,the beginning,unknown
dark,5,10,no way out,2007-02-04
dark,5,11,into the dark,2003-06-22
dark,5,12,fallout,2020-10-05
dark,5,14,last stand,unknown
dark,5,15,untitled episode,2020-01-28
game of thrones,0,1,into the dark,2003-12-10
game of thrones,0,2,the descent,2016-09-12
game of thrones,0,3,new dawn,2014-03-14
game of thrones,0,7,rising sun,2009-10-09
game of thrones,0,7,aftermath,2019-06-21
game of thrones,0,7,the beginning,2000-06-02
game of thrones,0,9,untitled,2005-07-22
game of thrones,0,9,the awakening,2000-11-05
game of thrones,0,11,pilot,2000-05-01
game of thrones,0,12,no way out,2008-06-08
game of thrones,0,13,rising sun,2016-03-02
game of thrones,0,14,reckoning,2009-08-17
game of thrones,0,15,last stand,2019-11-03
game of thrones,0,15,end game,2013-08-23
game of thrones,1,0,new dawn,2018-09-23
game of thrones,1,7,the beginning,2003-01-31
game of thrones,1,11,last stand,2017-05-03
game of thrones,1,12,new dawn,2005-06-29
game of thrones,1,13,pilot,2021-04-19
game of thrones,2,4,no way out,2004-04-21
game of thrones,2,5,rising sun,2019-12-15
game of thrones,2,6,the truth,2003-07-16
game of thrones,2,11,last stand,2017-10-06
game of thrones,3,0,the return,2006-02-26
game of thrones,3,0,breaking point,2011-10-16
game of thrones,3,1,final chapter,2012-06-03
game of thrones,3,6,no way out,2008-12-18
game of thrones,3,13,the awakening,2019-10-30
game of thrones,3,14,no way out,2013-08-28
game of thrones,3,15,redemption,2005-06-20
game of thrones,4,0,the beginning,2004-07-09
game of thrones,4,0,redemption,2007-09-23
game of thrones,4,0,end game,2013-07-06
game of thrones,4,5,redemption,2014-04-04
game of thrones,4,7,final chapter,2004-05-11
game of thrones,4,8,end game,2012-12-09
game of thrones,4,11,untitled episode,2002-02-20
game of thrones,4,14,the beginning,2019-04-04
game of thrones,5,0,fallout,2003-09-10
game of thrones,5,3,new dawn,2006-04-27
game of thrones,5,4,redemption,2015-09-09
game of thrones,5,7,aftermath,2016-05-04
game of thrones,5,10,new dawn,2014-10-05
game of thrones,5,13,fallout,2002-11-17
severance,0,6,untitled,2006-12-27
severance,0,8,aftermath,2013-04-25
severance,0,9,no way out,2003-07-24
severance,0,9,last stand,2000-12-21
severance,0,10,redemption,2006-02-15
severance,0,11,pilot,2010-09-28
severance,0,13,the truth,2011-04-12
severance,0,13,final chapter,2010-01-25
severance,0,15,final chapter,2007-03-18
severance,1,0,reckoning,2015-11-30
severance,1,5,the descent,unknown
severance,1,12,the truth,2005-04-04
severance,1,13,into the dark,unknown
severance,2,4,redemption,2007-11-04
severance,2,5,fallout,2005-07-13
severance,2,6,new dawn,2007-08-20
severance,2,9,fallout,2016-03-22
severance,2,11,end game,2006-05-13
severance,3,0,aftermath,2017-02-11
severance,3,3,untitled,2003-02-20
severance,3,6,breaking point,2006-03-29
severance,3,12,untitled episode,2000-06-27
severance,4,4,rising sun,2002-03-05
severance,4,5,crossroads,2018-11-02
severance,4,8,pilot,2002-02-01
severance,4,11,the return,2011-06-19
severance,5,0,the truth,2010-10-31
severance,5,0,fallout,2019-10-31
severance,5,0,breaking point,2002-08-22
severance,5,1,untitled episode,2012-07-13
severance,5,3,new dawn,2011-11-01
severance,5,6,untitled episode,2009-04-29
severance,5,9,crossroads,2007-02-12
severance,5,10,breaking point,2007-07-18
severance,5,11,the beginning,unknown
severance,5,12,the truth,2013-09-19
severance,5,14,no way out,2009-07-27
sopranos,0,2,final chapter,2020-07-23
sopranos,0,3,redemption,2010-07-08
sopranos,0,5,untitled,2007-08-31
sopranos,0,14,the awakening,2002-07-30
sopranos,0,15,the truth,2009-03-02
sopranos,1,0,reckoning,2003-02-01
sopranos,1,1,redemption,2013-12-06
sopranos,1,2,breaking point,2002-03-03
sopranos,1,3,the awakening,unknown
sopranos,1,4,the return,2004-04-07
sopranos,1,7,the beginning,2005-03-16
sopranos,1,9,reckoning,2000-04-13
sopranos,1,15,final chapter,2011-11-05
sopranos,2,0,aftermath,2020-01-27
sopranos,2,0,redemption,2005-12-31
sopranos,2,0,into the dark,2008-03-28
sopranos,2,1,untitled episode,2014-12-23
sopranos,2,6,aftermath,2004-09-12
sopranos,2,11,last stand,2014-12-16
sopranos,3,10,new dawn,2018-02-06
sopranos,3,13,breaking point,2019-02-21
sopranos,3,15,pilot,unknown
sopranos,4,0,breaking point,2020-01-24
sopranos,4,0,fallout,2011-07-20
sopranos,4,0,final chapter,2013-07-27
sopranos,4,5,end game,2004-09-24
sopranos,4,10,no way out,2002-08-05
sopranos,4,12,the awakening,2007-06-02
sopranos,5,0,untitled,2003-03-15
sopranos,5,0,fallout,2019-04-28
sopranos,5,6,rising sun,2016-02-22
sopranos,5,8,the descent,2001-05-25
stranger things,0,3,the awakening,2017-11-28
stranger things,0,9,the beginning,2021-06-15
stranger things,0,10,breaking point,2003-03-08
stranger things,0,11,into the dark,2019-01-01
stranger things,0,13,crossroads,2018-08-29
stranger things,0,14,crossroads,2016-03-04
stranger things,0,14,the return,2003-02-07
stranger things,1,5,into the dark,2002-07-23
stranger things,1,10,rising sun,2015-02-22
stranger things,2,0,into the dark,2008-02-04
stranger things,2,2,the descent,2009-02-21
stranger things,2,3,into the dark,2015-01-06
stranger things,2,4,breaking point,2015-07-25
stranger things,2,8,untitled episode,2007-04-04
stranger things,3,0,no way out,2002-09-21
stranger things,3,0,the descent,2013-10-15
stranger things,3,3,redemption,2012-05-16
stranger things,3,7,untitled,unknown
stranger things,4,0,the descent,2010-06-01
stranger things,4,0,into the dark,2018-03-14
stranger things,4,0,aftermath,2000-12-12
stranger things,4,2,end game,2012-11-15
stranger things,4,6,breaking point,unknown
stranger things,4,14,end game,2009-09-24
stranger things,5,1,aftermath,2013-01-23
stranger things,5,8,the beginning,2012-07-02
stranger things,5,9,pilot,2020-05-04
stranger things,5,11,new dawn,2013-10-24
stranger things,5,12,end game,2021-11-07
the bear,0,1,reckoning,2007-05-24
the bear,0,1,end game,2009-12-08
the bear,0,3,end game,2021-05-02
the bear,0,3,crossroads,2003-06-17
the bear,0,4,the descent,2021-11-09
the bear,0,4,end game,2004-08-24
the bear,0,5,redemption,2011-12-23
the bear,0,8,no way out,2001-01-07
the bear,0,10,end game,2003-06-28
the bear,0,10,no way out,2010-05-18
the bear,0,15,new dawn,2004-01-17
the bear,1,0,pilot,2001-01-07
the bear,1,1,untitled episode,2018-08-03
the bear,1,2,into the dark,2018-04-20
the bear,1,5,untitled episode,2014-08-29
the bear,1,6,the awakening,2009-08-10
the bear,1,9,the return,2016-01-22
the bear,2,0,no way out,2008-12-04
the bear,2,3,untitled episode,2013-09-13
the bear,2,7,last stand,unknown
the bear,2,8,last stand,2006-02-13
the bear,2,12,reckoning,2004-07-25
the bear,3,0,the return,2011-03-05
the bear,3,0,fallout,2007-11-26
the bear,3,1,into the dark,2020-09-22
the bear,3,4,into the dark,2008-11-15
the bear,3,6,last stand,2018-08-19
the bear,3,7,the awakening,2018-09-12
the bear,3,8,the awakening,2011-11-28
the bear,3,10,the return,2015-10-20
the bear,3,14,no way out,2007-12-13
the bear,4,0,last stand,2018-03-31
the bear,4,0,new dawn,2001-09-06
the bear,4,0,end game,2018-10-07
the bear,4,1,into the dark,2000-02-24
the bear,4,4,the awakening,2016-12-09
the bear,4,5,final chapter,2013-12-05
the bear,4,6,last stand,2003-02-07
the bear,4,9,redemption,2021-10-12
the bear,5,0,pilot,2012-11-23
the bear,5,0,fallout,2014-10-10
the bear,5,1,crossroads,2001-11-02
the bear,5,4,into the dark,unknown
the bear,5,8,last stand,2017-08-06
the bear,5,11,reckoning,2010-06-06
the wire,0,6,fallout,2001-07-03
the wire,0,8,no way out,2018-08-21
the wire,0,9,breaking point,2018-03-28
the wire,0,10,the truth,2002-04-28
the wire,0,11,breaking point,2013-05-06
the wire,0,13,new dawn,2001-04-05
the wire,0,13,into the dark,2008-04-01
the wire,0,15,reckoning,2000-02-20
the wire,1,1,reckoning,2017-04-18
the wire,1,4,rising sun,2012-07-07
the wire,1,6,breaking point,2021-07-07
the wire,1,10,untitled,2011-12-24
the wire,1,11,untitled episode,2020-07-18
the wire,1,12,the awakening,2002-11-02
the wire,1,13,untitled,2015-08-29
the wire,1,14,last stand,2019-06-08
the wire,2,0,rising sun,2016-07-01
the wire,2,1,last stand,2019-09-10
the wire,2,4,pilot,2014-10-20
the wire,2,7,crossroads,2006-11-13
the wire,2,10,new dawn,2000-11-09
the wire,2,11,reckoning,2005-05-09
the wire,3,0,redemption,2016-02-05
the wire,3,0,the beginning,2006-02-16
the wire,3,3,crossroads,2013-08-14
the wire,3,6,the awakening,2001-10-22
the wire,3,10,untitled episode,2004-12-14
the wire,3,15,the beginning,2020-02-28
the wire,4,0,the return,2006-05-28
the wire,4,0,fallout,2010-01-22
the wire,4,2,last stand,2020-09-20
the wire,4,3,redemption,2000-01-27
the wire,4,4,end game,2009-12-09
the wire,4,8,redemption,2007-08-23
the wire,5,0,the awakening,2011-04-10
the wire,5,5,the descent,2007-04-26
the wire,5,8,last stand,2006-02-27
the wire,5,11,the return,2009-07-14
the wire,5,12,new dawn,2012-06-19
the wire,5,13,untitled,2011-05-21
the wire,5,15,final chapter,unknown
